Feature name,Mean,Standard deviation
mjj,590.6432938727722,423.9667524647408
detajj,2.610563288669182,1.0150796326991816
dphijj,0.7758143619097178,0.4377194262271033
ak4_pt0,222.15940143135978,88.84269265481718
ak4_pt1,109.14596071289189,48.947778609878696
ak4_eta0,-0.01364641602705839,1.3446954546930285
ak4_eta1,-0.007714322882788823,1.7303605381895015
mjj_maxmjj,732.076883049304,471.50079347957535
detajj_maxmjj,3.6927513639906473,1.5188473637537598
dphijj_maxmjj,1.1257870430597114,0.7700497567455364
ak4_pt0_maxmjj,202.64606376057253,100.04703987537148
ak4_pt1_maxmjj,76.64043189800962,56.86627421819174
ak4_eta0_maxmjj,-0.012501626122023905,1.6238974341902968
ak4_eta1_maxmjj,-0.01349030831273553,2.6093733595234925
ht,383.9365161961754,139.81072200943586
recoil_pt,333.58397294132953,95.06104489467592
dphi_ak40_met,2.7950052035904775,0.34186051148585084
dphi_ak41_met,2.554380772733186,0.4212134793318409
