Feature name,Mean,Standard deviation
mjj,596.9629163834081,430.0110764225779
detajj,2.5285241260480484,1.004656514257457
dphijj,0.7821233058115461,0.43382550543233955
ak4_pt0,231.65757047516513,97.463768278429
ak4_pt1,117.06886748444788,52.412740258658566
ak4_eta0,-0.0057568235223924005,1.3010147473069733
ak4_eta1,-0.010298009142899365,1.6944886300087445
mjj_maxmjj,770.1120277337578,491.1867254048929
detajj_maxmjj,3.83011040117218,1.6838357222855205
dphijj_maxmjj,1.1377766919330954,0.7705088940921762
ak4_pt0_maxmjj,206.40443342864103,109.47545269639954
ak4_pt1_maxmjj,77.64523400574603,61.776411706197074
ak4_eta0_maxmjj,0.006048193371899365,1.65901879386338
ak4_eta1_maxmjj,-0.029880549637675734,2.766348947164895
ht,391.7529334680329,144.60630429867052
recoil_pt,346.88324101505384,109.74705401724611
dphi_ak40_met,2.825045193460908,0.25184875685385455
dphi_ak41_met,2.588255717473473,0.3631348844606703
