Feature name,Mean,Standard deviation
mjj,585.2689622777934,420.97038976833295
detajj,2.6516779037317475,1.0360502217693555
dphijj,0.7804170701887952,0.4323965387596424
ak4_pt0,221.56809055915537,79.89479189291728
ak4_pt1,102.49739702613411,46.41862287485951
ak4_eta0,-0.01602060026730971,1.2984373943262013
ak4_eta1,-0.012579803559128171,1.828104903262419
mjj_maxmjj,762.793945868841,497.53556844442545
detajj_maxmjj,3.9578866005835533,1.7124430364179062
dphijj_maxmjj,1.1309732656363152,0.7713660614732132
ak4_pt0_maxmjj,195.07484683062776,95.54805098184299
ak4_pt1_maxmjj,68.29595774886731,52.37704245739685
ak4_eta0_maxmjj,-0.018233928887148924,1.6949480533102526
ak4_eta1_maxmjj,0.009821174044341777,2.8245777721014926
ht,364.0403797540618,118.93665656319439
recoil_pt,323.9160308588521,81.02632820486205
dphi_ak40_met,2.002549615806287,0.917583006187143
dphi_ak41_met,1.9181832622401755,0.8900205716623883
