Feature name,Mean,Standard deviation
mjj,638.6363636363636,493.13049586332954
detajj,2.7515151515151515,1.0392658283094098
dphijj,0.8090303030303031,0.4417771949646307
ak4_pt0,227.6060606060606,92.48683424533245
ak4_pt1,103.84848484848484,52.902495336759216
ak4_eta0,-0.007878787878787576,1.3942734777518244
ak4_eta1,0.0909090909090912,1.8104852248254597
mjj_maxmjj,773.1818181818181,530.3055411195971
detajj_maxmjj,3.89939393939394,1.5597395652731327
dphijj_maxmjj,1.1161818181818184,0.7787010144930158
ak4_pt0_maxmjj,206.6060606060606,96.81048008443169
ak4_pt1_maxmjj,75.39393939393939,59.49404828594935
ak4_eta0_maxmjj,0.05939393939393971,1.6680744467688693
ak4_eta1_maxmjj,-0.06909090909090883,2.6141600002461693
ht,383.030303030303,150.99839149223249
recoil,334.1818181818182,101.59976573149278
dphi_ak40_met,2.046969696969697,0.9296865221055733
dphi_ak41_met,1.9328484848484853,0.8555256623043758
