Feature name,Mean,Standard deviation
mjj,543.1327652097507,347.42228620872385
detajj,2.5310707076352568,0.952195282735295
dphijj,0.7832964691534561,0.43576386411899304
ak4_pt0,225.5393541570328,79.68904475121346
ak4_pt1,102.78791667892479,47.43618425137609
ak4_eta0,0.01073528407974905,1.2466281388804683
ak4_eta1,-0.06351484643200987,1.7278384087243712
mjj_maxmjj,708.7115626940619,421.50911776982747
detajj_maxmjj,3.8145733979677248,1.6373786790209224
dphijj_maxmjj,1.128531334839385,0.7678369575726233
ak4_pt0_maxmjj,197.35966553310286,97.03083490891966
ak4_pt1_maxmjj,68.61622226056394,53.82942389277742
ak4_eta0_maxmjj,-0.002143414968481159,1.6233681839771612
ak4_eta1_maxmjj,-0.04044497459654943,2.7873387896215784
ht,366.87706224192397,118.3272279475412
recoil,326.87160422024044,82.49707868611661
dphi_ak40_met,1.983000253326908,0.9155678366457148
dphi_ak41_met,1.8980369394845091,0.8879314069909472
