Feature name,Mean,Standard deviation
mjj,579.9504970292827,419.6280423730921
detajj,2.5656172331181897,1.01069537456321
dphijj,0.7790888025555089,0.4332840533226265
ak4_pt0,225.56594925096562,90.35159795745443
ak4_pt1,109.23741383069306,49.105974692680896
ak4_eta0,-0.003019537136901587,1.3157802399272402
ak4_eta1,-0.0032492357018635235,1.7188324763953067
mjj_maxmjj,755.2575864858454,486.21987062905833
detajj_maxmjj,3.891925132116498,1.6997708551718818
dphijj_maxmjj,1.1353835471698357,0.7725106176335219
ak4_pt0_maxmjj,199.64292511317848,103.91691201667513
ak4_pt1_maxmjj,72.40945064642493,56.911477123771625
ak4_eta0_maxmjj,0.0031056791033597098,1.6863115898594445
ak4_eta1_maxmjj,-0.01648114479464325,2.7847581655495857
ht,375.0406003592755,132.5018152788317
recoil,335.10911747623663,98.72593034176231
dphi_ak40_met,2.7927151588950094,0.3598280775650471
dphi_ak41_met,2.551501369002306,0.42909494902413947
