Feature name,Mean,Standard deviation
mjj,552.2466494058764,373.0225268459056
detajj,2.5119910608366345,0.951820356653458
dphijj,0.771760517733833,0.43384051631996434
ak4_pt0,235.03928809491666,95.10025654576441
ak4_pt1,105.01052284319547,50.155833911754435
ak4_eta0,-0.004746555061198741,1.329253598684265
ak4_eta1,0.021743159984597252,1.624490453640847
mjj_maxmjj,706.2322216503122,428.8961105185307
detajj_maxmjj,3.7396642107898566,1.604040319833988
dphijj_maxmjj,1.1300385054086586,0.7782559595186644
ak4_pt0_maxmjj,210.74243072183634,109.06870974747709
ak4_pt1_maxmjj,71.5089064870986,56.40076583743137
ak4_eta0_maxmjj,0.008608265122955936,1.621359060337308
ak4_eta1_maxmjj,0.01033614860201737,2.6767241403422846
ht,389.3851357219942,141.30047182709126
recoil,340.60173293012554,100.49015692905415
dphi_ak40_met,1.9066733585262585,0.9207705672215309
dphi_ak41_met,1.8259236879652498,0.8959535814866627
