Feature name,Mean,Standard deviation
mjj,589.6123935816393,448.27656281663207
detajj,2.685692780128869,1.0749175106973816
dphijj,0.76973275039585,0.43261468044787776
ak4_pt0,227.54799806359935,87.2180408298488
ak4_pt1,95.59018589023385,43.76593481039703
ak4_eta0,-0.0057105094335870915,1.3699974381782667
ak4_eta1,-0.008614428810147097,1.805533570955987
mjj_maxmjj,765.0892580192036,504.41572675997344
detajj_maxmjj,3.953978486713314,1.6699924828651402
dphijj_maxmjj,1.123489870001156,0.7735751130498646
ak4_pt0_maxmjj,201.68369783487398,103.03516111287162
ak4_pt1_maxmjj,64.41221117065707,49.125642242351574
ak4_eta0_maxmjj,-0.00912704063682198,1.7242992757738218
ak4_eta1_maxmjj,0.0003560231905654017,2.816179626608422
ht,358.6256363268422,118.03639356195013
recoil,325.4736358306436,88.30828752549746
dphi_ak40_met,2.8939890937587083,0.19525353381316543
dphi_ak41_met,2.5843604523806127,0.34985601796775834
