Feature name,Mean,Standard deviation
mjj,543.4148044692737,362.91023945837173
detajj,2.5170949720670395,0.9745409731246514
dphijj,0.7658938547486035,0.42870010733527353
ak4_pt0,231.3271863649064,92.86034132499066
ak4_pt1,102.70949720670392,47.28913169896621
ak4_eta0,-0.02396648044692706,1.3092818275315565
ak4_eta1,0.03209497206703939,1.6531966907306814
mjj_maxmjj,689.5391061452514,412.16936623132995
detajj_maxmjj,3.703872437357631,1.5409545135677911
dphijj_maxmjj,1.119892458100559,0.7802960615958551
ak4_pt0_maxmjj,208.0120145291981,106.60412713731549
ak4_pt1_maxmjj,70.52932960893855,53.309722509836
ak4_eta0_maxmjj,-0.030865921787709215,1.5949842222335215
ak4_eta1_maxmjj,0.01952513966480479,2.6386065389225983
ht,382.7150837988827,135.27956712252927
recoil,337.58659217877096,96.98463299980789
dphi_ak40_met,1.8275572625698326,0.9316422902896765
dphi_ak41_met,1.7849706703910617,0.9059143883546846
