Feature name,Mean,Standard deviation
mjj,572.6898981989037,401.64031837005217
detajj,2.678872357086923,1.0461159756218323
dphijj,0.7610129209083791,0.4309724437687667
ak4_pt0,225.3618562757,86.94174207197592
ak4_pt1,95.0505090054816,43.21489112032132
ak4_eta0,-0.025763508222395953,1.374126726484178
ak4_eta1,0.007509788566954093,1.782097956172335
mjj_maxmjj,718.9310884886453,450.63317147713605
detajj_maxmjj,3.7811521603005636,1.5220098188108702
dphijj_maxmjj,1.1129397024275647,0.7761498602748118
ak4_pt0_maxmjj,204.24926571372626,99.88183902558386
ak4_pt1_maxmjj,66.7368833202819,48.37652174903988
ak4_eta0_maxmjj,-0.017157400156616848,1.652110982353478
ak4_eta1_maxmjj,-0.028175411119811828,2.650464454313067
ht,364.80501174628034,124.52835514713034
recoil,324.25058731401725,86.3394976723177
dphi_ak40_met,2.8912548942834766,0.20122816721197742
dphi_ak41_met,2.5873277212216133,0.351559815278443
